,pca_vecs
0,"[-43798.85047172592,7171.480524866272,-21028.56441304679,-21216.304662901683,1263.507681793903]"
1,"[-43817.37474907433,7474.629796253453,-21293.43108867354,-21431.88245753969,1180.9531773244016]"
2,"[-43539.003528987625,7191.656852942581,-21088.898473854963,-20802.87689646269,1401.7327798724762]"
3,"[-43769.59761587273,7487.528505636397,-21311.80507294262,-21225.492686578174,1141.1997438528922]"
4,"[-43859.571719131854,7166.31849912968,-21012.957986219084,-21328.32242835479,1303.437979187213]"
5,"[-43871.8868153216,7149.721697917989,-21044.87365647167,-21329.62028081095,1244.9471131645105]"
6,"[-43799.59464083134,7442.588132491592,-21269.472226727994,-21594.49294561817,1211.4036855816394]"
7,"[-43673.58632739455,7153.1253961563525,-21110.74378688593,-20990.715363344614,1226.9022831098068]"
8,"[-43733.912799714984,7169.748588261325,-21098.433365388257,-21119.47795360019,1217.1327194602802]"
9,"[-44076.00717732729,7472.029126796488,-21165.91570739502,-21964.36144257762,1342.251641508081]"
10,"[-43325.69980466958,7350.189967277919,-21093.76729744707,-20447.940264528104,1880.4562672620436]"
11,"[-43634.2203186449,7123.388831621438,-21100.99639777448,-20854.580088313076,1291.3003720813967]"
12,"[-43934.4487138192,7191.261474892428,-20987.84330089449,-21494.115257334797,1259.3975479122855]"
13,"[-43658.87275404152,7552.935059113561,-21370.51371036552,-20942.04768729905,1073.7177555793533]"
14,"[-43377.97630861556,7422.568623043701,-21111.952084517852,-20292.042859713365,2070.6224114087895]"
15,"[-43730.94805913284,7528.555901611992,-21350.236569546945,-21116.62222168477,1096.3949419182247]"
16,"[-44038.285605037796,7491.865724057352,-21233.838099058128,-21796.02217825046,1273.8663786341729]"
17,"[-43917.90013603475,7453.032559108867,-21250.35936709653,-21650.94749940783,1207.3013090996355]"
18,"[-43586.68298649398,7155.272099224307,-21142.098592637944,-20832.930508108973,1296.0613208707007]"
19,"[-44277.23067098632,7532.685485301428,-21079.77294231934,-22216.407879902392,1399.076639900414]"
20,"[-44205.665705114945,7520.24899378387,-21163.81265279616,-21976.611791154,1352.7319434811373]"
21,"[-44353.959039779285,7584.289859311338,-21016.602395920727,-22302.367125286873,1424.078670476218]"
22,"[-43385.42927597344,7436.627044702288,-21155.591025778445,-20310.060913405956,1950.404660974659]"
23,"[-44499.0695148454,7628.621932918672,-20972.232562643767,-22458.3703111331,1616.366343234819]"
24,"[-44420.76320940705,7550.691769243697,-21056.952477730065,-22279.66405243463,1452.564217104492]"
25,"[-45126.56751532551,9221.23605743375,-20520.229903729214,-23026.902714695658,1403.966013631669]"
26,"[-45294.35831433739,9288.37143416657,-20248.205838427737,-23139.82944275202,1714.4955917120158]"
27,"[-45252.06859568183,9248.618096662347,-20335.731807030843,-23141.28375540926,1600.1639482297012]"
28,"[-45110.406629005236,9226.29967823989,-20423.328717946428,-23098.366614469327,1459.964579331375]"
29,"[-45198.54013018652,9267.200706800999,-20345.779085854792,-23177.609847980253,1532.8445886742898]"
30,"[-45061.10464458792,9177.671623001275,-20557.2126381353,-22996.195214938343,1378.9103240204338]"
31,"[-45249.32205690027,9355.65565949976,-20408.422999960087,-22754.603683135585,1390.9178509543249]"
32,"[-45169.97137844586,9388.378305239186,-20589.93852641334,-22967.77733956502,1226.2448384694828]"
33,"[-45236.26354488031,9350.208363184249,-20216.807755739177,-22608.1108118466,1600.9652686520953]"
34,"[-45159.82949928077,9384.164661637216,-20461.38227409715,-22880.95174715477,1292.6780777282368]"
35,"[-45126.08351969859,9388.398772238286,-20576.957873657982,-22904.057257658584,1263.9155529539057]"
36,"[-45269.5768400059,9350.000980986979,-20299.170263752676,-22736.20944558709,1490.2569244231163]"
37,"[-45199.24353307352,9379.456523089055,-20581.972713827217,-22945.835585371693,1235.4442416035165]"
38,"[-45201.57151277143,9387.575427198162,-20461.409503836945,-22870.334404880738,1324.8897887267412]"
39,"[-45006.289906948245,9460.285876387105,-20647.0810967911,-22232.644770386803,1227.3054738410635]"
40,"[-45015.84007395258,9555.608254340705,-20584.282231650406,-22189.179756833935,1168.6447193085542]"
41,"[-45134.19271755311,9400.900884797838,-20725.737902530193,-22854.512583526895,1162.5605608454614]"
42,"[-38643.78374721407,11807.845221139605,-23902.59423735156,-7359.7342568110425,9339.669060188424]"
43,"[-38783.67512624891,11629.133699005275,-23827.028308707184,-7601.631733583747,9323.94774231653]"
44,"[-38183.2876577245,12457.90863941848,-23776.647771867694,-6788.757532349168,9849.4721206249]"
45,"[-38783.912378774505,11518.470695100401,-23740.657845009628,-7755.598158951948,9321.992943574327]"
46,"[-38499.500984565275,11867.140102771738,-23853.698627620528,-7368.712011362824,9420.8424499534]"
47,"[-42042.11638039977,13385.352710650106,-21680.700678521614,-8297.484367165524,10505.004764753976]"
48,"[-38067.14560833145,12039.846680154777,-23831.71433539373,-7667.524897424105,9306.5727967441]"
49,"[-38556.68248146757,11808.294679323071,-23381.87165823607,-7082.8299936640915,10145.071771925817]"
50,"[-39130.897399244815,11621.310596187059,-23175.675383944756,-9611.30929643836,8996.010219469843]"
51,"[-38389.77879321703,12113.202315374145,-24034.894244915235,-7653.427740876145,8988.610249302154]"
52,"[-42077.53445501797,13416.628387849954,-21586.00446970516,-8309.652058485191,10541.57751391785]"
53,"[-38357.84248991558,12017.222426730545,-23893.323859775493,-7171.703411656847,9493.986637353788]"
54,"[-38201.19860044146,11893.324172033761,-23792.97892720038,-7761.717495567332,9293.614466470295]"
55,"[-38905.56752315606,11638.147880847288,-23985.80481679594,-8126.109504584008,8926.027199770095]"
56,"[-38276.897182645465,12139.705349352223,-23865.388771840808,-7015.8872592616135,9590.368555368437]"
57,"[-38480.14702781905,11683.10603273432,-23638.905569978146,-8214.61066072048,9329.95885374054]"
58,"[-38386.331739693924,11823.364883566539,-23740.8247192209,-7929.689025545248,9346.756969315893]"
59,"[-38362.98113588054,12103.280193303575,-23918.84277821765,-7024.862819229043,9541.030534247628]"
60,"[-38881.236415520914,11405.376005977663,-23372.401632546713,-8841.146643941678,9134.256277155217]"
61,"[-38189.66201710256,12354.486756378126,-23829.21849158345,-6867.556405958563,9807.02254721774]"
62,"[-38150.212404457445,12359.164996709147,-23801.298769703317,-6816.925013729502,9804.85787372319]"
63,"[-38556.41216138085,11962.913417618856,-23238.03524346849,-6823.32070250898,10406.995753122928]"
64,"[-38390.908708012845,12286.666640123782,-24069.715132263307,-7565.04071003846,8973.77202684234]"
65,"[-41944.72876681614,13227.350661824456,-21739.497808190397,-8316.955145848086,10542.924707487888]"
66,"[-37973.679555177136,12159.702100854578,-23824.00641209276,-7679.863852754338,9195.00766054541]"
67,"[-39151.28843119736,12297.4337799421,-22969.96358955539,-10438.528462279133,8889.397076236974]"
68,"[-38926.86219777892,12022.463609665316,-23168.113410152924,-9811.390535091168,8918.245652583524]"
69,"[-38622.33917279963,11585.919236919957,-23600.461827126648,-8364.359671710206,9322.858600053956]"
70,"[-38891.200114008796,11730.257133688745,-23335.18515213711,-9091.972588862664,9094.27586936481]"
71,"[-38554.5674074451,12026.172325164494,-24063.540399970683,-7730.164397479978,9008.68015955916]"
72,"[-39775.285222805986,11914.278404618124,-23187.30898145975,-6791.2762069129885,10289.664419477791]"
73,"[-39805.62244755334,11881.526726086531,-23125.930501892566,-6785.925092617589,10287.586677078816]"
74,"[-39993.51251849683,11875.558316929819,-23041.695411266035,-6924.797308244564,10258.328254903465]"
75,"[-42010.25549445815,12572.73966949991,-21946.79767235536,-8334.953012678665,10128.704565754017]"
76,"[-40158.31717072416,11920.060371504107,-23015.697866296137,-7047.254835296976,10210.561916540039]"
77,"[-28013.464261691704,28147.915148180567,-21043.629410667236,-22468.764972263572,14610.333119737328]"
78,"[-26697.913543275365,27673.74171788406,-20734.25449093952,-21385.502247131768,12998.329676075155]"
79,"[-27722.452720909416,28435.210844142137,-21020.014271898744,-22294.80838182421,14493.828987836625]"
80,"[-27418.96490365628,27913.028012676205,-21056.29431363122,-21742.53465502853,13147.715652741073]"
81,"[-27860.953156732223,28365.91684484137,-21056.604366636257,-22432.37425875403,14497.706562743946]"
82,"[-27471.853876625668,27180.258785667316,-21170.16455062726,-21767.027177407188,13222.588091298512]"
83,"[-27473.176753985965,27762.529223989408,-21028.93522883354,-21759.452711302645,13264.487454160686]"
84,"[-27536.6032392269,27621.66491134906,-21069.809179361404,-21821.7309205351,13322.65377640941]"
85,"[-27602.7152994459,28738.825653985194,-21071.327664491077,-22245.44991761299,14192.130813642383]"
86,"[-27664.926380212743,28621.384261397565,-21102.087192734904,-22270.926868575047,14318.083494120981]"
87,"[-28110.87253867543,27897.21536628755,-21058.751168950912,-22416.051547368326,14847.830257985252]"
88,"[-27409.783381608373,27069.055371155893,-21117.164672050374,-21746.838312442225,13238.86726990893]"
89,"[-27410.798117419923,27282.06874930544,-21197.343012954912,-21761.735816749835,13114.62812318386]"
90,"[-28316.514623675943,28589.068943687038,-21165.037534487987,-22558.199081574614,14264.781128903449]"
91,"[-28637.745275876412,28293.381328668587,-21314.7936774066,-22530.604983552097,14430.723380457732]"
92,"[-27418.297239521806,27147.015822562524,-21107.157045731456,-21777.792464572816,13222.638965848253]"
93,"[-28838.43701630249,28258.59133151554,-21517.538723757774,-22627.67686362081,13807.50977525193]"
94,"[-28397.539929359136,28661.55309724448,-21343.399656599882,-22481.844454233695,14188.5581309289]"
95,"[-28541.567405803562,28534.92657870316,-21426.353343326744,-22841.67705943038,13536.648664792594]"
96,"[-28517.0301771829,28405.477779589513,-21341.491955958645,-22492.871618979898,14310.42864990482]"
97,"[-28508.97996755833,28459.88958728649,-21320.407812628542,-22906.475248654642,13652.747867022723]"
98,"[-28104.822284896683,28877.46758139051,-21204.28164558756,-22584.850711457366,14000.606955490051]"
99,"[-28063.645424942693,29014.444528023825,-21247.110808177753,-22578.67143488064,13857.404120925637]"
100,"[-28549.432171804598,28547.378382309114,-21431.803940090518,-22796.90715701237,13513.29329784264]"
101,"[-27754.40079130043,28840.796060093828,-21167.683684631567,-22353.199493210363,13511.93333073706]"
102,"[-28498.625878555325,28478.796104875324,-21338.092990752077,-22885.277553522694,13600.823290280294]"
103,"[-28308.53660446882,28765.81367086291,-21346.466763107823,-22457.83792723487,14074.297200900352]"
104,"[-27728.560119652564,28786.674210470646,-21070.486462499186,-22395.998522321435,13540.994470526193]"
105,"[-27724.885567413774,28831.90976160666,-21106.62918246893,-22375.62553543839,13519.856904419943]"
106,"[-28201.781257893428,28763.382335647442,-21212.966137383584,-22539.465035979756,14131.165463141573]"
107,"[-28285.55543026791,28881.3364285489,-21374.53100330428,-22443.931918720315,13946.896637458105]"
108,"[-28593.078377014604,28559.203283109888,-21468.91368753351,-22746.0614218824,13470.954567532292]"
109,"[-28734.68117523712,28704.840251438345,-21290.461560447904,-23300.664268717253,14533.187227245613]"
110,"[-27769.509228839845,28845.571897112128,-21179.41619277557,-22297.872639110647,13446.139986461922]"
111,"[-28597.90350291285,28568.48451302686,-21509.01935716961,-22688.71102247202,13417.863796625144]"
112,"[-31144.06419554398,-140.25654475175998,-7985.808240440161,-20473.01982255591,14537.951874320317]"
113,"[-31169.558626334667,-607.1803459703517,-7683.625361992946,-20481.798171919134,14764.01392115673]"
114,"[-31172.868029045338,-382.47357901176184,-7836.333356476428,-20484.581963035598,14714.244388656944]"
115,"[-31212.512852302105,-755.2238659448032,-7607.55909779551,-20424.293535413544,14776.243976137768]"
116,"[-31615.318573661232,-1825.5312884928721,-8037.573370425833,-20452.053309542316,14127.860514619993]"
117,"[-30797.49910004348,-459.3847750641615,-8068.9143626865325,-20417.141662185648,14416.753879090968]"
118,"[-31651.82910315533,-572.4079397043088,-8880.928003033356,-20618.331579332465,13822.117402496153]"
119,"[-31567.34341183333,-881.1236883156663,-8681.656378979427,-20578.536041260242,13969.279776369394]"
120,"[-31561.32978294151,-1093.8415640396468,-8533.752915693949,-20524.361184814225,14023.239371076314]"
121,"[-31137.407828850974,-1510.0976742777927,-8630.981462537233,-20314.360601259334,13674.67749956137]"
122,"[-31565.952478960033,-1736.4840211085038,-8129.267397274926,-20490.67872436828,14141.762143873688]"
123,"[-31556.72112875349,-1551.2828564049203,-8231.83250403345,-20477.96129014545,14123.7601756154]"
124,"[-31512.161022004937,-1366.1030907390195,-8347.145439313648,-20476.736259737547,14082.62794935196]"
125,"[-31388.99703825207,-2429.8056620347893,-8178.839177658672,-20306.551076140222,13574.430815167509]"
126,"[-31479.247795272935,-2587.508913197341,-8176.648257379593,-20305.207389646523,13458.387349597288]"
127,"[-31225.57934614019,-1939.7907783532507,-8391.929715829501,-20312.33211674643,13724.943272662844]"
128,"[-31276.55550342106,-2298.697439764916,-8193.73193313202,-20298.09317610781,13676.843109349717]"
129,"[-31617.429771511575,-2701.765169624208,-8188.44733596215,-20298.971046084014,13305.62740166322]"
130,"[-31168.62012263983,-1718.270131380221,-8513.815028531058,-20302.74877175135,13689.80418130051]"
131,"[-32213.85222337347,-3320.16314980855,-8701.852667952375,-19855.32349762765,11617.09090760904]"
132,"[-31255.129290189558,-2084.7010495426834,-8309.057977822422,-20301.083887545446,13699.751127160232]"
133,"[-33096.17660383746,-3163.963650784855,-9496.856646062013,-19855.937798624032,10806.789091890852]"
134,"[-31917.00038152771,-3179.462023506223,-8749.863787957484,-19980.593318312687,12091.82958774275]"
135,"[-33562.8306727472,-3322.1452649867815,-9559.081962008002,-19252.554035038334,10122.906848452552]"
136,"[-31952.90623758026,-2979.421470013864,-8160.043341425231,-20258.598017057306,12692.905524326661]"
137,"[-31845.78172191932,-2960.203832529325,-8143.443237333206,-20257.52549332979,12834.877614250583]"
138,"[-33451.8736619312,-3276.379741865296,-9538.05800222545,-19438.138459018213,10320.988589263046]"
139,"[-33916.420137864916,-3303.465415324514,-9824.592896896258,-18302.73762510559,9292.768865497525]"
140,"[-32037.71559872835,-3278.9720251406093,-8744.675440479756,-19959.8910888151,11916.851309797583]"
141,"[-33657.45185565688,-3299.009910623286,-9598.022968559833,-19059.11081090996,9912.468360979401]"
142,"[-31690.494649744003,-2804.940372998727,-8134.274031447739,-20284.006057257033,13190.966408084785]"
143,"[-32143.387375131777,-3269.5789142974863,-8737.242318329036,-19914.278510120843,11789.009376878039]"
144,"[-33316.23998364208,-3247.4508185582213,-9492.881969438018,-19592.66201069739,10487.376692302163]"
145,"[-31770.507319892804,-3101.964709320615,-8746.618624762523,-20029.198385091924,12214.458009570526]"
146,"[-33831.24615265854,-3316.635629606047,-9715.908245156616,-18528.73485024487,9486.701265458812]"
147,"[-32131.092757857532,-3022.1180050907706,-8228.291449418453,-20283.115512700246,12348.878440735374]"
148,"[-33799.012920458685,-3304.5957783243234,-9672.688955988011,-18697.195601134295,9648.899695678027]"
149,"[-33200.558973985,-3167.388383812632,-9500.425243265105,-19746.13546264087,10641.90743316021]"
150,"[-32290.03482094195,-3331.403408051302,-8712.909939867426,-19754.96080431044,11450.376978924774]"
151,"[-31763.353953241025,-2879.8319365636594,-8130.498167966156,-20241.36686790003,13006.969808530079]"
152,"[-33738.79766919126,-3337.7274259362584,-9604.19301282701,-18882.900247520174,9800.375017119222]"
153,"[-32012.626412630118,-3032.451293522555,-8182.866830725385,-20268.83296964197,12541.109163289726]"
154,"[-10802.592921126798,18274.29927178625,-13524.600270512938,-19129.26047194427,1572.3287797283876]"
155,"[-10626.41719575058,18113.559328193962,-13545.895404214552,-19122.523076306006,1534.987935599022]"
156,"[-10932.085319386128,18397.6261104576,-13453.162066979823,-19245.770600650805,1622.2434941533443]"
157,"[-11221.225583083333,17647.221103966614,-14759.544672064916,-20766.514443937875,3801.261392515936]"
158,"[-11430.63077073348,17720.157832497964,-14741.875734646188,-20909.03575434467,3829.937267145327]"
159,"[-10629.187152583798,17268.35600276401,-14824.596243854561,-19927.832210572888,3845.3470456949926]"
160,"[-10707.365707756948,17353.16815300288,-14828.4198855343,-20106.697975182724,3784.073168137486]"
161,"[-11105.370138860626,17565.902363667294,-14813.15492202314,-20606.825688583252,3760.3276517680524]"
162,"[-7020.563354808732,15217.266093705879,-10570.228966648303,-11907.459943692846,689.2671348933975]"
163,"[-10933.373524332974,17499.365265602944,-14800.511670203277,-20439.26777857423,3757.0906574172172]"
164,"[-10514.332840292798,17130.858477230544,-14786.222507983626,-19727.288584419864,3898.92549278049]"
165,"[-7224.88917393453,15402.931876592495,-10165.940284422442,-13623.317577519661,2498.0200440538715]"
166,"[-7184.380952981738,15382.392022085241,-10563.77516915807,-14228.319783380566,2852.399152228897]"
167,"[-7184.874864723014,15446.994217726255,-10148.080582205072,-13569.4372026595,2413.8953526552414]"
168,"[-9719.421614329389,15915.88633160192,-14099.24314467366,-18207.046151794413,4789.793419647405]"
169,"[-10280.020771169227,16835.455933991234,-14712.578572924387,-19151.342863628834,4040.7816680927936]"
170,"[-10021.594525228973,16475.81323114429,-14516.250133150332,-18763.464108440363,4369.110801943467]"
171,"[-9823.890514719038,16217.69044053837,-14333.776089372544,-18472.67740086918,4461.262248462299]"
172,"[-10859.537823888091,17398.36789563823,-14840.321877525217,-20258.08011019645,3819.2957591296927]"
173,"[-9975.960798771459,16359.501329221805,-14421.210506390333,-18619.99382061097,4483.1757993981555]"
174,"[-10360.107668543986,16912.179288509706,-14764.467644244174,-19347.03623125598,3959.560873903848]"
175,"[-7026.9126107066195,15235.40807013528,-10660.340085028034,-11955.461669181777,680.8858730883138]"
176,"[-7142.2975342598465,15259.602583279633,-10615.173202870927,-11853.816399186342,716.2316015677319]"
177,"[-10448.793258012623,17048.14308953507,-14782.59282133031,-19538.23371300401,3931.539412008177]"
178,"[-7283.308254501512,15595.81937525394,-10132.58014825131,-13361.354152703145,2100.9449553697855]"
179,"[-10126.898901262766,16648.585306622565,-14569.203934807723,-18882.587743093103,4255.947234041813]"
180,"[-7220.869957381066,15469.788042975495,-10172.99655738467,-13455.637121059237,2317.909731436588]"
181,"[-7214.939344333304,15545.075354071449,-10113.660667232085,-13441.788454001107,2194.768988423205]"
182,"[-9704.930268644368,15999.785276413448,-14169.812087207254,-18284.886388591127,4695.176307400359]"
183,"[-8208.495833370047,16384.855655868396,-13417.001803299076,-17318.15430529615,4282.861243614507]"
184,"[-6996.854807085432,15191.351542120457,-10796.136611103271,-12135.34806550532,662.4232714058795]"
185,"[-9800.044922815048,16120.338053465464,-14289.7171185801,-18399.19033206028,4607.847248200109]"
186,"[-6993.9581926456185,15244.63972931715,-10721.271981274755,-12082.238329550464,656.146810682902]"
187,"[-10445.479144032926,17697.901621364836,-14321.897896179644,-20472.1788778404,3732.7911427312033]"
188,"[-7130.861578500082,15359.504896133618,-10578.181665467013,-14205.904109259833,2804.101709659367]"
189,"[-10144.374585407088,16738.068572980337,-14631.87179012457,-19017.273317764688,4166.186308952796]"
190,"[-6975.187285691737,15236.453503219333,-10664.709281319669,-12042.459660990162,689.6208340560175]"
191,"[-8258.571701262092,16441.330976486162,-13548.504195721804,-17396.165225158325,4235.8711656349315]"
192,"[-6949.729937111405,15190.59035520606,-10705.398006328096,-12134.874267666626,717.3773910744576]"
193,"[-7283.123247179273,15648.96687147782,-10167.069199466692,-13277.688956318281,1961.584817912594]"
194,"[-7152.740590764128,15153.357193675613,-10563.154777096084,-11723.07784157055,690.9313213861136]"
195,"[-6933.574760317807,15163.811531161438,-10854.779885843525,-12186.107193938737,709.320440379621]"
196,"[-49038.089489156344,26900.022633908313,-851.4946691045637,-8521.172658482195,2944.3925880949414]"
197,"[-49295.08755586919,25719.122089434604,-1346.7355360808888,-8418.33943408718,3778.267348117202]"
198,"[-49759.43684157386,24566.961207419234,-1757.4050876800754,-8617.984156379423,4738.230822890251]"
199,"[-47013.619361688274,30417.74188113887,1324.4652061211705,-13689.851489761299,4926.544116463485]"
200,"[-48817.900632179364,27765.16225859082,-628.7555543807819,-8284.546812041579,2309.512080340121]"
201,"[-46913.10624632211,30948.435036939125,1328.076097147911,-13558.176948932221,4173.156431965105]"
202,"[-47064.656117903774,29377.838601760694,956.7452864606574,-11038.191359911085,2570.860049588063]"
203,"[-50845.526806958456,21889.955569630903,-3286.3187101253543,-9464.39588554263,6586.245737398326]"
204,"[-50573.27929400634,23008.66470177729,-2548.813651100451,-9095.96258112109,5688.403874392018]"
205,"[-49593.24915668279,33828.60476984072,-742.9660857107967,-18972.193638920886,9232.416250059745]"
206,"[-51508.86707916077,20502.7153937171,-4178.990588417811,-10088.097777802026,7247.80891754988]"
207,"[-47175.95959370169,32449.797315977463,1049.0000746173826,-15476.241457957152,6005.135025930827]"
208,"[-47544.15412091484,31706.486166948467,956.4480327397999,-15532.565185387422,6770.826877965539]"
209,"[-51972.48845289872,19645.833838337177,-4981.229675123606,-11088.84391496105,7909.65882294803]"
210,"[-47848.44371755949,32564.807439214466,650.4649075360362,-16348.752177605766,5723.5930969635265]"
211,"[-49371.19915235471,34419.494468407785,-896.0687740077863,-19024.186444434406,8629.719182218547]"
212,"[-45987.65828483728,26909.105426234335,-10894.797821475257,-24392.98214331511,-23.08125543508048]"
213,"[-48729.40157143965,32715.28853040759,132.80792324517947,-17317.329584392202,8137.987495355933]"
214,"[-48395.07022104048,33557.87361633413,149.561132997675,-17574.53503115499,7417.226688631946]"
215,"[-48818.47872163776,33725.86324683709,-143.2792048368431,-18558.755145570674,8615.956231270904]"
216,"[-47310.05676372417,24365.74897539009,-12419.690439017664,-23266.648691912418,-233.8591680907715]"
217,"[-49091.41660831542,33796.53163686265,-467.4359820417552,-18440.74457350383,9260.532620277547]"
218,"[-46992.324887062925,25015.679035091518,-12356.795434883918,-22945.832585879747,-717.6414738187349]"
219,"[-53405.62841061974,18526.87856810701,-7950.79087138042,-13696.015566753675,7610.060298033582]"
220,"[-50221.43216964395,34266.68963635234,-1556.8837420735965,-19276.327681008508,9204.867144614464]"
221,"[-47820.251434797254,23354.398884375034,-12710.643707141824,-23143.085165655262,340.3156742367981]"
222,"[-52395.48001823023,18824.37904264378,-5863.641652813434,-12121.918232104957,8178.760348530403]"
223,"[-49841.254251697384,34084.18872045383,-1636.3031968267878,-19460.912163161323,9232.81166335643]"
224,"[-48687.87367986528,21519.696382527003,-12862.204519992712,-23853.094774791087,2097.7028024355905]"
225,"[-53691.62364180746,18367.607771673003,-8683.290146776686,-14688.778489918057,8173.484152817659]"
226,"[-50855.142556927174,18354.185035482406,-14076.352443337695,-25340.357646466342,4127.444864181211]"
227,"[-53723.429787370376,18373.335987228977,-9224.060882695465,-15225.528759241031,8546.531766025953]"
228,"[-49988.07257022463,19423.294319626788,-13414.277516627302,-24359.433878955435,3781.77979537171]"
229,"[-53705.603735233766,18269.042062457207,-9909.971133606477,-15691.124561405262,9164.267587809005]"
230,"[-53840.58917787249,18403.413524719952,-10561.831262895685,-16198.19115203164,9557.706040722394]"
231,"[-51243.59904023325,18202.10000770649,-14484.926751478308,-25921.382442449663,4172.558705686649]"
232,"[-53807.21475903716,18462.32291883559,-11146.524670416085,-16661.828223024575,10090.842251085003]"
233,"[-51838.871110854256,17704.647653717297,-15303.747105374689,-25845.71419757733,5602.592177685633]"
234,"[-52150.478793519214,18237.95101267121,-15115.569644230918,-26170.690267846265,5356.374842286059]"
235,"[-52184.655792111465,17849.352928092583,-15484.91759381638,-25505.177560293596,6886.529157059026]"
236,"[-53677.765753506596,18467.87237677091,-12340.114557746307,-17248.3242444875,10668.750786248507]"
237,"[-52584.472589977544,18389.650786386235,-15543.469715768473,-25905.590881176955,6712.591827941509]"
